group,interact,Idimp,commonout,commongoal,size,asc,acq,impermeable,similar,bioesst,indpoten,entity,stability,duration,mutint,RMT_CS,RMT_AR,RMT_EM,RMT_MP
members of a family,5.571428571,5.555555556,4.537634409,4.787878788,3.990291262,5.515463918,4.144329897,5.752688172,5.34375,5.93877551,4.760416667,5.452631579,6.051020408,5.489795918,4.595959596,5.510416667,5.092783505,5.265957447,4.287234043
romantic relationships,5.757894737,5.62,4.878787879,5.239583333,3.18,2.939393939,5.636363636,4.58,5.175257732,4,4.804123711,5.723404255,4.494845361,5.020833333,5.835051546,5.567010309,4.639175258,5.494845361,4.692307692
friends,5.915789474,5.489583333,4.434343434,4.744897959,3.803921569,3.704081633,5.244897959,4.357894737,5.091836735,3.693877551,5.12244898,5.505263158,4.298969072,5.009708738,5.396039604,5.357894737,4.474226804,5.182692308,4.414141414
local street gang,5.446808511,5.453608247,4.721649485,4.95959596,3.931372549,4,4.663157895,5.565217391,5.12371134,3.41,4.842105263,5,4.281553398,4.442105263,5.207920792,4.888888889,5.708333333,4.082474227,4.490196078
orchestra,5.0625,5.127659574,4.53125,5.288659794,4.470588235,3.255319149,5.604166667,4.096774194,4.797979798,2.797979798,4.463157895,5.62244898,3.5,4.576086957,4.45,4.649484536,4.940594059,5.094736842,4.555555556
sports team,5.714285714,5.458333333,4.817307692,5.789473684,4.252631579,3.41,5.606060606,3.958333333,4.773195876,3.690721649,4.683673469,5.333333333,3.696969697,4.795918367,4.659793814,5.12371134,5.091836735,5.09375,5.086538462
rock band,5.673684211,5.340659341,4.3,5.313131313,3.436893204,3.141414141,5.128712871,3.835051546,4.888888889,3.241758242,4.39,5.101010101,3.645833333,4.458333333,5.316326531,4.709677419,4.871287129,4.810526316,4.752688172
Citizens of Poland,4.151515152,5.206185567,3.930693069,4.459183673,5.412371134,4.808510638,4.127659574,4.87254902,4.422680412,4.757894737,4.08,4.885416667,5.265306122,5.467391304,3.485148515,4.326530612,4.44,4.09,4.302083333
Citizens of America,4.42,5.257425743,4.090909091,4.326315789,6.077669903,4.695652174,4.989795918,4.863157895,4.222222222,3.795918367,4.183673469,4.353535354,5.575757576,5.5,3.273684211,3.8125,4.408163265,4.12,4.391304348
Women,4.35483871,5.494845361,4.333333333,4.318681319,5.95959596,5.639175258,4.02970297,5.940594059,4.541666667,5.688888889,4.176470588,4.739130435,6.134020619,6.1,3.552083333,4.294736842,3.9375,4.159574468,4.07
Blacks,4.388888889,5.369565217,4.06185567,4.393939394,5.70212766,5.421052632,3.475247525,5.525252525,4.541666667,5.861702128,3.821782178,4.213592233,5.989473684,5.969072165,3.714285714,4.329896907,3.895833333,3.908163265,3.95959596
Jews,4.531914894,5.393939394,4.04950495,4.909090909,5.717171717,4.87,4.074468085,5.306930693,4.930693069,4.966666667,4.361702128,4.86407767,5.747474747,6.01,4.041666667,4.707070707,3.848484848,3.9375,4.206185567
doctors,4.755102041,5.290322581,4.40625,5.505263158,5.14893617,3.371134021,5.628865979,3.978947368,4.610526316,3.145833333,4.757894737,4.979381443,4.901960784,5.292929293,4.268041237,4.2,4.888888889,4.545454545,4.67961165
airline flight crew,5.452631579,4.613861386,4.35,5.28,3.677419355,3.53125,5.273684211,3.757575758,4.717171717,3.113402062,4.121212121,5.113402062,3.653061224,4.316831683,4.150537634,4.836734694,5.14,5.378947368,4.434343434
company committee,5.425742574,4.714285714,4.372340426,5.37755102,3.794117647,3.93,5.360824742,4.050505051,4.553191489,3.030612245,4.207920792,5.07,3.494949495,4.212765957,4.989583333,4.495049505,5.463917526,5.207920792,5.010204082
coworkers assigned to a project,5.505154639,4.2,4.451612903,5.6,3.840425532,4.659793814,4.915789474,4.525252525,4.568421053,2.97,4.361702128,4.868131868,3.041237113,3.838383838,4.463157895,4.907216495,5.202020202,5.663265306,5.181818182
members of jury,5.166666667,4.090909091,3.9,5.088235294,3.584158416,4.918367347,3.775510204,4.714285714,3.547368421,3.178947368,3.628865979,4.484210526,2.79787234,3.77173913,4.072916667,4.221052632,4.505376344,4.6875,4.255319149
