group,interact,Idimp,commonout,commongoal,size,asc,acq,impermeable,similar,bioesst,indpoten,entity,stability,duration,mutint,RMT_CS,RMT_AR,RMT_EM,RMT_MP
members of a family,5.64556962,5.306818182,5.078651685,5.279069767,5.1,5.247191011,5.530120482,5.666666667,5.273809524,5.525773196,5.670454545,5.593023256,5.736263736,5.579545455,5.465116279,5.663043478,5.443181818,5.337209302,5.213483146
romantic relationships,5.426966292,5.347826087,5.318181818,5.356321839,4.824175824,4.725274725,5.609195402,5.081395349,5.181818182,5.23255814,5.4,5.202247191,5.333333333,5.341176471,5.166666667,5.382022472,4.988372093,5.311111111,5.303370787
friends,5.759036145,5.395348837,5.139784946,5.306818182,5.188888889,4.920454545,5.549450549,5.316455696,5.4,5,5.462365591,5.813186813,5.488095238,5.481927711,5.717647059,5.67816092,5.206521739,5.340909091,4.75
local street gang,5.047619048,4.956043956,5.112359551,5.052083333,4.597701149,5.136363636,5.219512195,4.988764045,5.011235955,4.915662651,5.112359551,4.952941176,4.611111111,4.921348315,5.056179775,5.022727273,5.117647059,4.956989247,5
Brahmins,4.620689655,5.125714286,4.858823529,5.037037037,4.929411765,4.988636364,4.827586207,5.313953488,5.337209302,5.227272727,4.826086957,5.011235955,5.285714286,5.271604938,5.012195122,4.694736842,5,4.924731183,4.584269663
sports team,5.546511628,5.466666667,5.43373494,5.775280899,4.928571429,5.253012048,5.538461538,4.717391304,5.347368421,5.086021505,5.172043011,5.24137931,5.021276596,5.358974359,5.215909091,5.413793103,5.321428571,5.482352941,5.297619048
rock band,5.126436782,5.095238095,4.772727273,5.112359551,4.95505618,4.388235294,5.130434783,4.747368421,5.268292683,4.869565217,5.166666667,5.217391304,4.73255814,4.761363636,5.033707865,4.944444444,5.240963855,5.266666667,5.154761905
Dalits,4.866666667,4.797619048,4.78313253,5.112359551,5.126436782,5.085365854,4.723404255,4.67816092,4.860465116,4.822222222,5.077777778,4.738636364,4.95505618,5.011627907,4.845238095,5.022222222,4.943181818,4.615384615,4.833333333
Citizens of America,4.929411765,5.511627907,5.117021277,4.629213483,5.692307692,4.773809524,5.023529412,5.215909091,4.928571429,4.988636364,4.819148936,4.966666667,5.12195122,5.23255814,4.791208791,4.870588235,4.987179487,4.875,4.988888889
Women,5.168539326,5.186813187,5.045454545,4.946808511,5.69047619,5.348837209,5.113636364,5,5,5.617977528,5.351648352,5.146067416,5.362637363,5.413043478,4.81443299,5.046511628,4.786516854,5.352941176,5.240963855
Blacks,5.047058824,4.741573034,4.817204301,4.988636364,5.235955056,4.945652174,4.804347826,4.977777778,5.044444444,4.921348315,4.880952381,4.840909091,5.174418605,5.191011236,4.916666667,4.886363636,4.709302326,4.8625,4.747368421
Jews,4.772727273,4.829545455,4.583333333,4.838709677,5.223404255,4.873563218,4.75,4.875,5.04494382,5.090909091,4.879120879,5.188235294,5.345679012,5.10989011,4.857142857,5.081395349,4.744186047,5.011494253,4.549450549
doctors,5.280487805,5.326086957,4.864197531,5.181818182,5.284090909,4.965517241,5.279069767,4.965909091,5.065934066,4.626373626,5.079545455,5.329545455,5.662921348,5.057471264,5.222222222,4.895348837,4.869565217,5.045977011,5.411764706
airline flight crew,5.30952381,5.073684211,4.931818182,5.084337349,4.715909091,4.790697674,4.858695652,4.666666667,4.847058824,4.465909091,4.777777778,5.022727273,4.455555556,4.802197802,5.231578947,4.942528736,5.139534884,5.122222222,5.252873563
company committee,5.326086957,5.238636364,5.139534884,5.367816092,4.930232558,5.108695652,5.341176471,4.964705882,5.111111111,4.643678161,4.975609756,5.344086022,4.988888889,5.24137931,5.402298851,5.011627907,5.426966292,5.428571429,5.336956522
coworkers assigned to a project,5.5,5.216494845,5,5.297619048,5.045454545,4.840425532,5.376470588,4.989010989,5.114942529,4.920454545,5.126436782,5.253012048,4.697674419,4.967741935,5.238636364,5.168539326,5.2875,5.481927711,5.443181818
members of jury,5.197674419,5.064516129,5.088888889,5.24137931,4.764705882,4.904761905,4.988888889,4.918604651,4.747126437,4.609195402,5.08988764,5.23255814,4.614457831,5,4.966292135,5.090909091,5,5.3,5.139534884
cast of a play,5.119565217,5.218390805,4.916666667,5.195652174,4.852631579,5.032967033,5.12345679,4.825581395,5,4.770114943,4.887640449,5.188888889,4.730337079,4.639534884,5.21686747,5.21686747,5.285714286,5.186046512,5.079545455
student campus committee,5.277777778,5.408602151,5.111111111,5.144578313,5.113636364,4.94047619,5.142857143,5.023529412,5.241758242,4.780487805,5.231578947,5.032608696,4.896551724,5.192771084,5.37804878,5.229885057,4.850574713,5.370786517,5.388235294
